02:10:41.107954 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2425052:2425256, ack 1333, win 501, length 204
02:10:41.111843 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2430092:2430296, ack 1333, win 501, length 204
02:10:41.111969 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2430296:2430500, ack 1333, win 501, length 204
02:10:41.112092 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2430500:2430704, ack 1333, win 501, length 204
02:10:41.112217 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2430704:2430908, ack 1333, win 501, length 204
02:10:41.112340 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2430908:2431112, ack 1333, win 501, length 204
02:10:41.112463 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2431112:2431316, ack 1333, win 501, length 204
02:10:41.112589 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2431316:2431520, ack 1333, win 501, length 204
02:10:41.112712 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2431520:2431724, ack 1333, win 501, length 204
02:10:41.112867 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2431724:2431928, ack 1333, win 501, length 204
02:10:41.113038 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2431928:2432132, ack 1333, win 501, length 204
02:10:41.113231 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2432132:2432336, ack 1333, win 501, length 204
02:10:41.113367 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2432336:2432540, ack 1333, win 501, length 204
02:10:41.113492 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2432540:2432744, ack 1333, win 501, length 204
02:10:41.113615 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2432744:2432948, ack 1333, win 501, length 204
02:10:41.113770 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2432948:2433152, ack 1333, win 501, length 204
02:10:41.113992 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2433152:2433356, ack 1333, win 501, length 204
02:10:41.114201 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2433356:2433560, ack 1333, win 501, length 204
02:10:41.114407 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2433560:2433764, ack 1333, win 501, length 204
02:10:41.114623 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2433764:2433968, ack 1333, win 501, length 204
02:10:41.114840 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2433968:2434172, ack 1333, win 501, length 204
02:10:41.114959 IP cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355 > 143.198.40.7.ssh: Flags [.], ack 2296164, win 3090, length 0
02:10:41.115172 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2434172:2434520, ack 1333, win 501, length 348
02:10:41.115403 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2434520:2434724, ack 1333, win 501, length 204
02:10:41.115626 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2434724:2434928, ack 1333, win 501, length 204
02:10:41.115798 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2434928:2435132, ack 1333, win 501, length 204
02:10:41.115932 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2435132:2435336, ack 1333, win 501, length 204
02:10:41.116131 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2435336:2435540, ack 1333, win 501, length 204
02:10:41.116300 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2435540:2435744, ack 1333, win 501, length 204
02:10:41.116427 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2435744:2435948, ack 1333, win 501, length 204
02:10:41.116618 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2435948:2436152, ack 1333, win 501, length 204
02:10:41.116884 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2436152:2436356, ack 1333, win 501, length 204
02:10:41.117104 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2436356:2436560, ack 1333, win 501, length 204
02:10:41.117278 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2436560:2436764, ack 1333, win 501, length 204
02:10:41.117405 IP 143.198.40.7.ssh > cpef0f2495f1e83-cmf0f2495f1e80.cpe.net.cable.rogers.com.53355: Flags [P.], seq 2436764:2436968, ack 1333, win 501, length 204
